StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q5,Q6,Q7,Q8,Q9
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Thank you for your interest in this study. My name
  is Anker Rasmussen and I am a student at City St   
  George's, University of London (module IN3065). I
  am conducting research into how students plan and  
  manage their studying, to inform the design of a
  study support app called StudyBuddy. This short
  screener will help me identify suitable
  participants for a 20-minute interview. If you are
  selected, you will receive a full Participant
  Information Sheet with further details. The only
  identifying information collected here is your
  university email address (Q6), which will be used
  solely to contact you about the interview and will
  be stored securely on a university-managed system.
  Your responses to all other questions are
  anonymous. You may close this survey at any time
  without consequence.",What year of study are you in?,Do you study or revise your modules outside of contact hours (Lectures/Labs/Tutorials)?,"Do you use third party tools to support your studies? (This excludes Moodle, OneDrive, and course textbooks).",Would you be willing to participate in a 20 minute interview about your study habits?,"I understand that my email address will be used
   solely to contact me about participating in this  
  study and will be stored securely. I consent to
  providing it."
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}"
2026-03-31 14:07:53,2026-03-31 14:08:03,Survey Preview,100,10,True,2026-03-31 14:08:04,R_8Nxq7gapKV4LaVC,preview,EN,Acknowledge,Stage 2,Sometimes,Sometimes,No,
2026-03-31 14:08:15,2026-03-31 14:08:33,Survey Preview,100,17,True,2026-03-31 14:08:33,R_8teNN8kZjcRfcCa,preview,EN,Acknowledge,Stage 2,No,Sometimes,Yes,Yes
2026-04-02 12:41:13,2026-04-02 12:42:39,IP Address,100,85,True,2026-04-02 12:42:39,R_2YMqbbytPNj2hkl,anonymous,EN,Acknowledge,Stage 2,Yes,Sometimes,Yes,Yes
2026-04-02 12:42:01,2026-04-02 12:43:04,IP Address,100,63,True,2026-04-02 12:43:04,R_894CObjTcx5S3z4,anonymous,EN,Acknowledge,Stage 2,Yes,Yes,Yes,Yes
2026-04-02 16:00:54,2026-04-02 16:02:04,IP Address,100,70,True,2026-04-02 16:02:04,R_8lzam7oQFzFxkRB,anonymous,EN,Acknowledge,Stage 2,Sometimes,Yes,Yes,Yes
2026-04-02 17:06:50,2026-04-02 17:07:36,IP Address,100,46,True,2026-04-02 17:07:37,R_2R7GtUiULYqBBhD,anonymous,EN,Acknowledge,Stage 3,Sometimes,Sometimes,Yes,Yes
2026-04-04 03:02:04,2026-04-04 03:08:40,IP Address,100,395,True,2026-04-04 03:08:41,R_9y2xXnzPsOIcXBf,anonymous,EN,Acknowledge,Stage 1,Sometimes,Yes,Yes,Yes
2026-03-31 14:54:56,2026-03-31 14:56:08,IP Address,14,72,False,2026-04-07 14:56:09,R_8oHKbNiztgC56rG,anonymous,EN,Acknowledge,,,,,
2026-03-31 21:26:05,2026-03-31 21:28:38,IP Address,86,153,False,2026-04-07 21:28:41,R_2HHAufz5QrddWtr,anonymous,EN,Acknowledge,Stage 2,Sometimes,Yes,Yes,Yes
2026-04-06 12:53:00,2026-04-06 12:53:20,IP Address,57,20,False,2026-04-13 12:53:23,R_2wQd5y56ky8oxeF,anonymous,EN,Acknowledge,Stage 2,Yes,Yes,,
